"contract_length","support_risk","payment_risk","engagement_risk","total_customers","churned_customers","churn_rate"
"Monthly","Low Support Calls","Low Payment Delay","Normal Usage","12897","12897","100.00"
"Monthly","Low Support Calls","High Payment Delay","Low Usage","6836","6836","100.00"
"Monthly","High Support Calls","Low Payment Delay","Low Usage","7578","7578","100.00"
"Monthly","Low Support Calls","High Payment Delay","Normal Usage","13709","13709","100.00"
"Monthly","High Support Calls","High Payment Delay","Normal Usage","16177","16177","100.00"
"Monthly","High Support Calls","High Payment Delay","Low Usage","8161","8161","100.00"
"Monthly","Low Support Calls","Low Payment Delay","Low Usage","6434","6434","100.00"
"Monthly","High Support Calls","Low Payment Delay","Normal Usage","15312","15312","100.00"
"Quarterly","High Support Calls","High Payment Delay","Low Usage","8219","8183","99.56"
"Annual","High Support Calls","High Payment Delay","Low Usage","8257","8216","99.50"
"Quarterly","High Support Calls","High Payment Delay","Normal Usage","16394","16273","99.26"
"Annual","High Support Calls","High Payment Delay","Normal Usage","16546","16391","99.06"
"Quarterly","High Support Calls","Low Payment Delay","Low Usage","7759","7652","98.62"
"Annual","High Support Calls","Low Payment Delay","Low Usage","7720","7606","98.52"
"Quarterly","High Support Calls","Low Payment Delay","Normal Usage","15549","15188","97.68"
"Annual","High Support Calls","Low Payment Delay","Normal Usage","15759","15377","97.58"
"Quarterly","Low Support Calls","High Payment Delay","Low Usage","14077","6347","45.09"
"Annual","Low Support Calls","High Payment Delay","Low Usage","14207","6350","44.70"
"Annual","Low Support Calls","High Payment Delay","Normal Usage","31689","12438","39.25"
"Quarterly","Low Support Calls","High Payment Delay","Normal Usage","31757","12421","39.11"
"Annual","Low Support Calls","Low Payment Delay","Low Usage","24661","5325","21.59"
"Quarterly","Low Support Calls","Low Payment Delay","Low Usage","24515","5250","21.42"
"Quarterly","Low Support Calls","Low Payment Delay","Normal Usage","58260","9935","17.05"
"Annual","Low Support Calls","Low Payment Delay","Normal Usage","58359","9943","17.04"
