"customerid","age","gender","tenure","usage_frequency","support_calls","payment_delay","subscription_type","contract_length","total_spend","last_interaction","churn","risk_score"
"4332.0",30,"Male",29,10,7,24,"Standard","Monthly","207.00",23,1,5
"3320.0",46,"Female",35,5,5,26,"Premium","Monthly","357.00",29,1,5
"538.0",60,"Male",55,6,10,16,"Basic","Monthly","789.00",17,1,5
"31407.0",54,"Male",24,7,9,20,"Premium","Monthly","417.00",16,1,5
"24427.0",19,"Male",20,5,6,28,"Premium","Monthly","409.00",27,1,5
"35545.0",56,"Female",59,1,9,15,"Premium","Monthly","768.00",16,1,5
"14759.0",50,"Female",58,8,8,30,"Premium","Monthly","244.00",26,1,5
"24405.0",45,"Male",11,10,7,29,"Standard","Monthly","665.00",17,1,5
"29056.0",45,"Male",44,8,7,22,"Basic","Monthly","947.00",24,1,5
"31403.0",24,"Male",5,4,10,15,"Standard","Monthly","767.00",17,1,5
"2560.0",28,"Male",22,6,8,29,"Standard","Monthly","971.00",25,1,5
"24381.0",57,"Male",23,5,5,18,"Basic","Monthly","579.00",29,1,5
"10066.0",63,"Female",10,2,10,24,"Standard","Monthly","126.00",20,1,5
"31035.0",34,"Female",26,6,7,15,"Standard","Monthly","838.00",19,1,5
"35042.0",47,"Female",1,7,5,21,"Premium","Monthly","334.00",17,1,5
"26393.0",58,"Female",60,7,7,22,"Premium","Monthly","711.00",22,1,5
"27731.0",31,"Female",32,9,7,29,"Premium","Monthly","485.00",29,1,5
"19413.0",38,"Female",17,5,5,25,"Premium","Monthly","785.00",21,1,5
"10063.0",32,"Male",53,3,10,26,"Basic","Monthly","607.00",18,1,5
"26360.0",50,"Female",3,3,8,22,"Premium","Monthly","330.00",30,1,5
"34659.0",54,"Male",14,7,9,19,"Basic","Monthly","106.00",17,1,5
"34163.0",22,"Female",16,5,8,28,"Basic","Monthly","963.00",30,1,5
"30527.0",40,"Female",4,3,7,26,"Premium","Monthly","366.00",23,1,5
"19370.0",50,"Male",2,4,9,20,"Premium","Monthly","195.00",23,1,5
"24355.0",19,"Male",54,5,7,21,"Premium","Monthly","684.00",20,1,5
"10058.0",60,"Female",16,6,8,28,"Premium","Monthly","283.00",16,1,5
"31581.0",59,"Female",55,2,7,27,"Premium","Monthly","323.00",27,1,5
"32512.0",27,"Male",54,6,6,21,"Standard","Monthly","722.00",22,1,5
"26323.0",49,"Female",44,6,9,30,"Standard","Monthly","693.00",16,1,5
"19315.0",50,"Female",40,7,10,16,"Standard","Monthly","919.00",21,1,5
"35537.0",39,"Male",52,3,5,22,"Basic","Monthly","196.00",24,1,5
"30497.0",61,"Female",18,3,5,28,"Premium","Monthly","556.00",24,1,5
"19289.0",43,"Female",46,1,5,22,"Premium","Monthly","580.00",26,1,5
"26305.0",30,"Male",24,8,5,22,"Basic","Monthly","944.00",30,1,5
"30839.0",43,"Female",24,3,6,22,"Basic","Monthly","584.00",28,1,5
"26275.0",62,"Male",35,4,8,17,"Standard","Monthly","920.00",18,1,5
"38669.0",39,"Female",41,7,5,29,"Standard","Monthly","155.00",16,1,5
"38001.0",24,"Female",52,7,6,25,"Premium","Monthly","798.00",29,1,5
"32046.0",49,"Male",31,6,10,24,"Basic","Monthly","575.00",29,1,5
"6991.0",59,"Male",32,5,7,18,"Basic","Monthly","234.00",16,1,5
"27682.0",57,"Female",59,1,6,28,"Basic","Monthly","134.00",22,1,5
"27678.0",65,"Male",27,1,6,23,"Standard","Monthly","204.00",30,1,5
"27677.0",31,"Female",8,3,9,29,"Premium","Monthly","460.00",30,1,5
"37775.0",24,"Female",42,3,10,24,"Basic","Monthly","902.00",25,1,5
"24233.0",41,"Male",60,3,8,27,"Standard","Monthly","409.00",18,1,5
"14755.0",49,"Female",31,10,7,25,"Basic","Monthly","113.00",21,1,5
"5854.0",60,"Male",20,6,8,20,"Basic","Monthly","994.00",28,1,5
"10034.0",33,"Male",30,8,6,20,"Premium","Monthly","195.00",19,1,5
"19210.0",65,"Male",29,8,6,17,"Premium","Monthly","793.00",22,1,5
"37573.0",35,"Female",46,8,7,19,"Standard","Monthly","914.00",30,1,5
"21741.0",54,"Female",13,1,5,21,"Premium","Monthly","812.00",29,1,5
"21729.0",56,"Male",26,9,7,19,"Standard","Monthly","546.00",25,1,5
"27661.0",52,"Male",22,5,9,28,"Premium","Monthly","118.00",25,1,5
